ID,age_range,datetime,gender,involved_person,legislation,location__latitude,location__longitude,location__street__id,location__street__name,object_of_search,officer_defined_ethnicity,operation,operation_name,outcome,outcome_linked_to_object_of_search,outcome_object__id,outcome_object__name,removal_of_more_than_outer_clothing,self_defined_ethnicity,type
1,18-24,2020-02-26T14:31:00+00:00,Female,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.639335,-1.13394,883362,On or near Gravel Street,Stolen goods,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,White - Any other White background,Person search
2,over 34,2020-02-03T12:17:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.639335,-1.13394,883362,On or near Gravel Street,Stolen goods,White,null,null,Arrest,FALSE,bu-arrest,Arrest,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
3,over 34,2020-02-03T15:23:00+00:00,Female,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.639335,-1.13394,883362,On or near Gravel Street,Stolen goods,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
4,18-24,2020-02-03T22:17:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.63625,-1.133691,883415,On or near Shopping Area,Stolen goods,Asian,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Other ethnic group - Not stated,Person search
5,Oct-17,2020-02-03T22:20:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.63625,-1.133691,883415,On or near Shopping Area,Stolen goods,Black,null,null,Community resolution,FALSE,bu-community-resolution,Community resolution,FALSE,Black/African/Caribbean/Black British - African,Person search
6,18-24,2020-02-26T14:24:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.639335,-1.13394,883362,On or near Gravel Street,Stolen goods,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,White - Any other White background,Person search
7,over 34,2020-02-26T14:57:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.639335,-1.13394,883362,On or near Gravel Street,Stolen goods,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Other ethnic group - Not stated,Person search
8,25-34,2020-02-26T15:02:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.639335,-1.13394,883362,On or near Gravel Street,Stolen goods,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,White - Any other White background,Person and Vehicle search
9,over 34,2020-02-26T15:05:00+00:00,Female,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.639335,-1.13394,883362,On or near Gravel Street,Stolen goods,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Other ethnic group - Not stated,Person search
10,18-24,2020-02-28T09:55:00+00:00,Female,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.639335,-1.13394,883362,On or near Gravel Street,Stolen goods,White,null,null,Arrest,null,bu-arrest,Arrest,FALSE,White - Any other White background,Person search
11,Oct-17,2020-02-29T19:40:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.629434,-1.120055,883213,On or near Saxby Street,Stolen goods,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Other ethnic group - Not stated,Person search
12,25-34,2020-02-21T12:49:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.635414,-1.128742,883313,On or near Yeoman Street,Controlled drugs,White,null,null,Community resolution,null,bu-community-resolution,Community resolution,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
13,18-24,2020-02-20T01:30:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.628757,-1.143043,883461,On or near Western Boulevard,Controlled drugs,Black,null,null,Community resolution,null,bu-community-resolution,Community resolution,FALSE,Black/African/Caribbean/Black British - African,Person search
14,18-24,2020-02-20T05:00:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.628757,-1.143043,883461,On or near Western Boulevard,Controlled drugs,Black,null,null,Community resolution,null,bu-community-resolution,Community resolution,FALSE,Black/African/Caribbean/Black British - African,Person search
15,over 34,2020-02-14T14:10:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.63625,-1.133691,883415,On or near Shopping Area,Controlled drugs,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
16,18-24,2020-02-29T03:41:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.633265,-1.125106,883277,On or near Fox Street,Controlled drugs,Black,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Other ethnic group - Not stated,Person search
17,25-34,2020-02-21T12:39:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.635184,-1.135455,883410,On or near Shopping Area,Controlled drugs,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,White - Any other White background,Person search
18,null,2020-02-17T00:00:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.621591,-1.113536,882481,On or near Cedars Court,Controlled drugs,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Other ethnic group - Not stated,Person search
19,Oct-17,2020-02-27T19:24:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.635598,-1.12933,883314,On or near Yeoman Lane,Controlled drugs,Black,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
